word,comparative
Alt,A!lter
Schnell,Schneller
Gut,Besser
Viel,Mehr
Nah,Na!her
Ruhig,Ruhiger
Hoch,Ho!her
Gros!,Gro!s!er
Laut,Lauter
Modern,Moderner
Jung,Ju!nger
Heis!,Heis!er
Klein,Kleiner
Hell,Heller
Scho!n,Scho!ner
Dunkel,Dunkler
Warm,Wa!rmer
Gesund,Gesu!nder
Lang,La!nger
Kalt,Ka!lter
Hart,Ha!rter
Klug,Klu!ger
Stark,Sta!rker
Gern,Lieber
Teuer,Teurer
Billig,Billiger
Bald,Eher
Langsam,Langsamer
Schwer,Schwerer
Dumm,Du!mmer
Langweilig,Langweiliger
Dick,Dicker
Oft,O!fter
Schwarz,Schwa!rzer
Leicht,Leichter
Breit,Breiter
