german,english
das Arzt,the doctor
die Nase,the nose
der Kopf,the head
das Auge,the eye
der Bauchschmerzen,the tummy ache
das Ohr,the ear
die Ohren,the ears
der Zahn,the tooth
die Za!hne,the teeth
der Mund,the mouth
die Zunge,the tongue
die Ha!nde,the hands
der Finger,the finger
die Nebenwirkung,the side-effect
das Knie,the knee
die Knie,the knees
die Ha!nde,the hands
der Finger,the finger
die Finger,the fingers
das Fus!gelenk,the ankle
die Zehe,the toe
die Zehen,the toes
der Fus!,the foot
der Ratschalg,the advice
die Fu!s!e,the feet
das Bein,the leg
die Beine,the legs
tut weh,hurts
das Beschwerden,the complaint
die Ratschla!ge,the advices
der Po,the bottom
das Handgelenk,the wrist
der Ru!cken,the back
das Haar,the hair
die Krankheit,the illness
die Krankheiten,the illnesses
die Gesundheit,the health
die Erka!ltung,the cold
der Schmerz,the pain
der Magen,the stomach
der Bauchschmerzen,the tommy
die Brust,the chest/breast
der Ellenbogen,the elbow
die Ellenbogen,the elbows
der Hals,the neck
