word,prefectPast
Abheben,Abgehoben
Anfangen,Angefangen
Anrufen,Angerufen
Aufstehen,Aufgestanden
Bleiben,Geblieben
Behalten,Behalten
Beschreiben,Beschrieben
Einladen,Eingeladen
Einsteigen,Eingestiegen
Entscheiden,Entschieden
Halten,Erhalten
Bitten,Gebeten
Bieten,Geboten
Bringen,Gebracht
Braten,Gebraten
Denken,Gedacht
Fahren,Gefahren
Fliegen,Geflogen
Frieren,Gefroren
Finden,Gefunden
Gehen,Gegangen
Geben,Gegeben
Gibt,Gegeben
Essen,Gegessen
Gelten,Gegolten
Haben,Gehabt
Kommen,Gekommen
Laufen,Gelaufen
Liegen,Gelegen
Lesen,Gelesen
Nennen,Genannt
Nehmen,Genommen
Raten,Geraten
Schalfen,Geschlafen
Schreiben,Geschrieben
Sehen,Gesehen
Sprechen,Gesprochen
Stehen,Gestanden
Singen,Gesungen
Tragen,Getragen
Treffen,Getroffen
Trinken,Getrunken
Waschen,Gewaschen
Sein,Gewesen
Gewinnen,Gewommen
Werden,Geworden
word,prefectPast
Umsteigen,Umgestiegen
Umziehen,Umgezogen
Vergleichen,Verglichen
Verlassen,Verlassen
Verlieren,Verloren
Verstehen,Verstanden
Verzeihen,Verziehen
